tissue	phenotype	pearson	spearman	data
Adipose_Subcutaneous	UKB_1160_Sleep_duration	0.0895569519804607	0.0749564608476162	real
Adipose_Subcutaneous	UKB_1160_Sleep_duration	0.00571606622080351	-0.00702894423716257	shuffled
Adipose_Subcutaneous	UKB_1180_Morning_or_evening_person_chronotype	0.0820265441528958	0.0714382614317735	real
Adipose_Subcutaneous	UKB_1180_Morning_or_evening_person_chronotype	-0.0111498851150653	0.00615023050668237	shuffled
Adipose_Subcutaneous	UKB_1200_Sleeplessness_or_insomnia	0.0841200498601515	0.0725059738552647	real
Adipose_Subcutaneous	UKB_1200_Sleeplessness_or_insomnia	0.00552605496878773	0.000234726257067747	shuffled
Adipose_Subcutaneous	UKB_1807_Fathers_age_at_death	0.083131785438965	0.0768061944801877	real
Adipose_Subcutaneous	UKB_1807_Fathers_age_at_death	0.0131302636313847	-0.00121273518633274	shuffled
Adipose_Subcutaneous	UKB_20016_Fluid_intelligence_score	0.0916129420020604	0.0692099111532938	real
Adipose_Subcutaneous	UKB_20016_Fluid_intelligence_score	0.00750104115742035	0.00262767262172477	shuffled
Adipose_Subcutaneous	UKB_20022_Birth_weight	0.0593717167157487	0.0638818933427031	real
Adipose_Subcutaneous	UKB_20022_Birth_weight	-0.00526949615437519	0.0107810551837278	shuffled
Adipose_Subcutaneous	UKB_20127_Neuroticism_score	0.0837639191730047	0.071887208768034	real
Adipose_Subcutaneous	UKB_20127_Neuroticism_score	-0.00161508208759476	-0.000964026369672615	shuffled
Adipose_Subcutaneous	UKB_21001_Body_mass_index_BMI	0.0563621838992194	0.0414283552126756	real
Adipose_Subcutaneous	UKB_21001_Body_mass_index_BMI	0.00373204332547334	0.000495462337793854	shuffled
Adipose_Subcutaneous	UKB_23099_Body_fat_percentage	0.0702378552549163	0.0611926046444781	real
Adipose_Subcutaneous	UKB_23099_Body_fat_percentage	-0.00833808715176077	-0.00506788613534618	shuffled
Adipose_Subcutaneous	UKB_3526_Mothers_age_at_death	0.105246197112815	0.0987467269260922	real
Adipose_Subcutaneous	UKB_3526_Mothers_age_at_death	-0.00782874075726573	0.0103086833589029	shuffled
Adipose_Subcutaneous	UKB_50_Standing_height	0.05778204627327	0.0546856428502215	real
Adipose_Subcutaneous	UKB_50_Standing_height	0.00152037599070696	-0.00796303519302265	shuffled
Adipose_Subcutaneous	UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	0.0982563267512031	0.0937136884009758	real
Adipose_Subcutaneous	UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	0.0115791071353837	0.00838859945986524	shuffled
Adipose_Subcutaneous	UKB_20002_1111_self_reported_asthma	0.0785409187599749	0.0721062079229306	real
Adipose_Subcutaneous	UKB_20002_1111_self_reported_asthma	-2.28291264923572e-05	-0.00333800937505212	shuffled
Adipose_Subcutaneous	UKB_20002_1154_self_reported_irritable_bowel_syndrome	0.105994479093208	0.096696025326617	real
Adipose_Subcutaneous	UKB_20002_1154_self_reported_irritable_bowel_syndrome	-0.00998498029085036	0.0101056346073508	shuffled
Adipose_Subcutaneous	UKB_20002_1222_self_reported_type_1_diabetes	0.0905756766548475	0.0860634048116988	real
Adipose_Subcutaneous	UKB_20002_1222_self_reported_type_1_diabetes	0.00465529693552999	-0.0151935696809824	shuffled
Adipose_Subcutaneous	UKB_20002_1223_self_reported_type_2_diabetes	0.0905687538420902	0.0839139298588707	real
Adipose_Subcutaneous	UKB_20002_1223_self_reported_type_2_diabetes	-0.00171409378754656	0.00481585529954826	shuffled
Adipose_Subcutaneous	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	0.102307865208286	0.0876056497622616	real
Adipose_Subcutaneous	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	-0.00287838104950287	0.00752583164668184	shuffled
Adipose_Subcutaneous	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	0.0894448747258608	0.0701864489342414	real
Adipose_Subcutaneous	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	7.97436982422933e-05	-0.00962253964049265	shuffled
Adipose_Subcutaneous	UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	0.104779312530963	0.0965076240387887	real
Adipose_Subcutaneous	UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	0.00380481822778051	-0.0046633551924076	shuffled
Adipose_Subcutaneous	UKB_20002_1261_self_reported_multiple_sclerosis	0.0894538809506525	0.0863834592157007	real
Adipose_Subcutaneous	UKB_20002_1261_self_reported_multiple_sclerosis	-9.01164028422637e-05	0.00127631808818259	shuffled
Adipose_Subcutaneous	UKB_20002_1262_self_reported_parkinsons_disease	0.0922682697271472	0.0863072987914889	real
