tissue	phenotype	rcp_threshold	corr_eqtl_gwas_pearson	corr_eqtl_gwas_spearman	concordance_pearson	concordance_pearson_ci95lower	concordance_pearson_ci95upper	concordance_pearson_pval	concordance_spearman	conc_baseline_pearson	conc_baseline_pearson_ci95lower	conc_baseline_pearson_ci95upper	conc_baseline_spearman	n	ld_1st_quartile	ld_median	ld_3rd_quartile
Adipose_Subcutaneous	Astle_et_al_2016_Eosinophil_counts	0	0.0768248859525761	0.0514522308396117	0.167417824863208	0.141288684898319	0.193313867774889	5.12311214693645e-35	0.186221004758967	0.156709009845677	0.125363294982692	0.187742169630222	0.172986122741582	5364	0.0125054637320773	0.0534075336151541	0.187161749982761
Adipose_Subcutaneous	Astle_et_al_2016_Eosinophil_counts	0.01	0.124350872912395	0.0505414139532771	0.362424485556024	0.241452094379306	0.472304875394645	3.35984838250409e-08	0.378729792583173	0.24296505438412	0.199813378247656	0.285176092210157	0.254046975218594	219	0.0132014936302806	0.0867739272468107	0.269870488551381
Adipose_Subcutaneous	Astle_et_al_2016_Eosinophil_counts	0.05	0.0476712667119709	-0.0216395158024484	0.462749690973208	0.234450235352208	0.642673835893484	0.000224035133575847	0.448551974049505	0.235632614836431	0.155599696995856	0.312592229379397	0.245818520514438	59	0.0114467737118354	0.107091444438666	0.310004285149622
Adipose_Subcutaneous	Astle_et_al_2016_Eosinophil_counts	0.1	-0.0034386964532367	-0.0705760084153568	0.417649708904585	0.0867840624551029	0.665532696269071	0.0155891044803	0.385026737967914	0.189942201737652	0.082353354484536	0.293154727199777	0.205936542784414	33	0.00770027987826314	0.0716039624848956	0.296648576477415
Adipose_Subcutaneous	Astle_et_al_2016_Eosinophil_counts	0.2	0.0150276653106968	-0.0589279201959705	0.660427451213065	0.319960788430697	0.849829663646979	0.00112002434786719	0.64025974025974	0.303767102864736	0.175278455704807	0.422081152207801	0.297816195525656	21	0.00770027987826314	0.108788982055039	0.313327482625844
Adipose_Subcutaneous	Astle_et_al_2016_Eosinophil_counts	0.5	0.110034177737128	-0.015838069499805	0.663188091413712	-0.0778810353672373	0.932210458756932	0.0730175422894341	0.642857142857143	0.266357011013627	0.0495393106359178	0.459200078658923	0.24122976663502	8	0.0555599912264364	0.146556318840827	0.366958988039305
Adipose_Visceral_Omentum	Astle_et_al_2016_Eosinophil_counts	0	0.0750949720785578	0.0404077643603855	0.130033921683101	0.099331257350369	0.160489224663929	1.92650062005678e-16	0.1567359210669	0.129113994221143	0.0925137233602699	0.16536583267145	0.154518973989373	3971	0.0106605527263776	0.0488175660026552	0.178425067055781
Adipose_Visceral_Omentum	Astle_et_al_2016_Eosinophil_counts	0.01	0.0674145487859003	0.00151213212810145	0.256860177239386	0.116529110620268	0.387136122167248	0.000432006837116057	0.277814485975007	0.119284033761997	0.0695526481898491	0.168423991886766	0.150516814144099	184	0.0140128383435744	0.0507843506291628	0.169974140780782
Adipose_Visceral_Omentum	Astle_et_al_2016_Eosinophil_counts	0.05	-0.0910408713228761	-0.11566939611238	0.354080199537222	0.0561964838292699	0.594079098434441	0.0214175352448605	0.345380875202593	0.11267879028441	0.0157666320906482	0.207493574736713	0.161728881385993	42	0.0188519892527124	0.0639081239143152	0.189750847761847
Adipose_Visceral_Omentum	Astle_et_al_2016_Eosinophil_counts	0.1	-0.115618497289592	-0.120767945851449	0.282371418303408	-0.109379526681861	0.598195921444035	0.153565905978163	0.254578754578755	0.218256254813185	0.0992375110858326	0.331118178769652	0.24984270916438	27	0.0137953082307409	0.0469393192126404	0.115498525280815
Adipose_Visceral_Omentum	Astle_et_al_2016_Eosinophil_counts	0.2	-0.205727514002268	-0.193580630394357	0.119989799823288	-0.461506932898615	0.629366064834951	0.69620151788123	0.126373626373626	-0.087574311114449	-0.257196259080078	0.0872826186413895	-0.0127666636147226	13	0.0237282031919291	0.0610233445786953	0.120588116655655
Adipose_Visceral_Omentum	Astle_et_al_2016_Eosinophil_counts	0.5	-0.114960789066647	-0.0598929256519013	0.952612349792615	NA	NA	0.19676951779943	1	0.0173972560952245	-0.351348688844358	0.381470603690534	0.206403940886699	3	0.0575128858394619	0.0912975684869946	0.229203617444515
Adrenal_Gland	Astle_et_al_2016_Eosinophil_counts	0	0.101603350645266	0.0535696023099791	0.136462876639279	0.0942081945447575	0.178226781746584	3.50323336735971e-10	0.169597299641985	0.108696629770773	0.0579602834937015	0.158872927595445	0.136357016184224	2097	0.0125911991287846	0.0508325383588599	0.160147402164581
Adrenal_Gland	Astle_et_al_2016_Eosinophil_counts	0.01	0.15907360976344	0.0619107248946274	0.334246235185814	0.131697539538943	0.510003835594114	0.00165916437281917	0.325477394520341	0.158601016811843	0.0751517748895133	0.239844237926499	0.149583527710059	86	0.0193591213662013	0.0679528638833612	0.137265904931662
Adrenal_Gland	Astle_et_al_2016_Eosinophil_counts	0.05	-5.03358312501217e-05	-0.0521344269367035	0.622244230555765	0.248016197327008	0.834876700863174	0.00339291871995739	0.58796992481203	0.221563605697657	0.0829182847657933	0.351794792733233	0.264531249217539	20	0.0457310676340779	0.101622545300894	0.128782602599514
Adrenal_Gland	Astle_et_al_2016_Eosinophil_counts	0.1	0.122700601876402	0.00193933110952678	0.824170163999841	0.187456661394546	0.973208400930628	0.0225944120454409	0.607142857142857	-0.0150875395971013	-0.249178179800964	0.220668792628916	0.0772999265143297	7	0.052768084714645	0.0672670148354162	0.101622545300894
Adrenal_Gland	Astle_et_al_2016_Eosinophil_counts	0.2	0.134149338138054	-0.0100971440044474	-0.44602256102659	-0.984911189549778	0.901512936502421	0.55397743897341	-0.2	-0.201367511245671	-0.482604134511312	0.117513188864452	-0.0964352720450281	4	0.0457310676340779	0.0774562602953677	0.110848131792564
Artery_Aorta	Astle_et_al_2016_Eosinophil_counts	0	0.0963171845730752	0.0495135077067842	0.137320065543859	0.107497173857074	0.166896057469456	4.19787933427348e-19	0.167936241504318	0.131013476348341	0.0954786187272055	0.166214846673142	0.161474811055395	4193	0.00951234290133975	0.0437561339213963	0.159603002453812
Artery_Aorta	Astle_et_al_2016_Eosinophil_counts	0.01	0.147585827116635	0.0358310485617029	0.351233748230152	0.207376391522902	0.480221849375245	5.26599391059012e-06	0.370759061983616	0.139135534759365	0.0868909168276605	0.190616932652099	0.168374229731581	160	0.011189879773167	0.0573011714952389	0.179837796251381
Artery_Aorta	Astle_et_al_2016_Eosinophil_counts	0.05	0.0556899706147337	-0.0285968264781018	0.492580484663867	0.195717818643476	0.706743684985383	0.00227377507068845	0.48005148005148	0.138687316804647	0.0343569926103724	0.240027486691579	0.143655137099933	36	0.011189879773167	0.0622494917506475	0.150682568837488
Artery_Aorta	Astle_et_al_2016_Eosinophil_counts	0.1	0.0408799291524428	-0.000290322801524222	0.617337445871351	0.240524176567201	0.832446596433322	0.0037319846715403	0.518796992481203	0.0574815342253736	-0.0837069147032879	0.196407536270067	0.0680671316901066	20	0.013770906296741	0.0710305849012591	0.137220519291934
Artery_Aorta	Astle_et_al_2016_Eosinophil_counts	0.2	0.0838291858429877	0.0869860519039942	0.556251289419864	-0.06546975326553	0.866868528881161	0.0755601284830048	0.518181818181818	0.0255266596441438	-0.164239554568075	0.213470846648395	-0.0077167109663037	11	0.00727035644120206	0.0501198350113206	0.106442918129671
